,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp_Total,Att_Total,Cmp%_Total,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_Drib,SCA_Sh,SCA_Fld,SCA_Def,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_Drib,GCA_Sh,GCA_Fld,GCA_Def,Touches,T_Def Pen,T_Def 3rd,T_Mid 3rd,T_Att 3rd,T_Att Pen,T_Live,Drib_Att,Drib_Succ,Drib_Succ%,Drib_Tkld,Drib_Tkld%,Carries,Carry_TotDist,Carry_PrgDist,Carry_PrgNum,Carry_1/3,Carry_PA,Carry_Miscon,Carry_Dispos,Rec,Rec_Prg,D_Tkl,D_TklW,Tkl_Def 3rd,Tkl_Mid 3rd,Tkl_Att 3rd,Chal_Tkl,Chal_Att,Chal_Tkl%,Chal_Lost,Blocks,B_Sh,B_Pass,Int,Tkl+Int,Clr,Err
2229,Fabian Rieder,SUI,MF,Rennes,Ligue 1,21.0,2002.0,4.1,1,5,2,40.0,1.23,0.49,0.2,0.5,23.7,2,0,0,0.3,0.3,0.06,0.7,0.7,169,212,79.7,3101,976,63,76,82.9,84,97,86.6,16,29,55.2,0,0.6,0.3,-0.6,4,25,6,1,41,13,3.21,11,2,0,0,0,0,0,0.0,0,0,0,0,0,0,255,6,25,159,76,7,255,5,2,40.0,3,60.0,191,989,396,10,6,1,8,3,172,18,13,7,2,9,2,6,11,54.5,5,3,1,2,5,18,2,0
2230,Jaïro Riedewald,NED,"MF,FW",Crystal Palace,Premier League,26.0,1996.0,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,14.5,0,0,0,0.0,0.0,0.02,0.0,0.0,87,113,77.0,1422,331,37,42,88.1,40,46,87.0,5,13,38.5,0,0.0,0.1,0.0,0,5,2,0,10,1,0.38,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,138,3,23,79,37,6,138,3,1,33.3,2,66.7,63,243,79,3,0,2,4,2,84,3,9,3,2,4,3,3,6,50.0,3,0,0,0,2,11,2,0
2231,Manuel Riemann,GER,GK,Bochum,Bundesliga,34.0,1988.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1031,1715,60.1,36529,30871,129,133,97.0,332,343,96.8,566,1226,46.2,0,0.2,0.4,-0.2,4,92,7,2,19,29,0.88,21,8,0,0,0,0,3,0.09,2,1,0,0,0,0,1820,1045,1649,172,5,0,1820,1,1,100.0,0,0.0,1108,6090,4104,0,1,0,2,0,919,0,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,25,1
2232,Luis Rioja,ESP,"FW,MF",Alavés,La Liga,29.0,1993.0,27.8,5,53,15,28.3,1.91,0.54,0.04,0.13,21.6,4,3,4,6.1,3.0,0.06,-1.1,-1.0,551,855,64.4,9059,2662,280,351,79.8,193,279,69.2,56,133,42.1,4,3.9,4.2,0.1,41,25,38,19,77,81,2.92,57,14,5,3,2,0,7,0.25,6,1,0,0,0,0,1123,24,150,382,619,62,1119,71,41,57.7,23,32.4,611,4030,2161,70,51,18,56,20,720,173,27,19,10,12,5,14,43,32.6,29,28,1,27,16,43,28,0
2233,Rémy Riou,FRA,GK,Lyon,Ligue 1,35.0,1987.0,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,80,104,76.9,1770,1171,24,25,96.0,44,45,97.8,12,34,35.3,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,107,95,106,1,0,0,107,0,0,0.0,0,0.0,71,371,214,0,0,0,0,0,45,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1
2234,Rodrigo Riquelme,ESP,"DF,MF",Atlético Madrid,La Liga,23.0,2000.0,17.0,3,37,16,43.2,2.18,0.94,0.08,0.19,18.0,0,0,0,2.7,2.7,0.07,0.3,0.3,501,673,74.4,6902,2141,317,367,86.4,134,179,74.9,26,59,44.1,5,3.1,3.7,1.9,28,25,30,8,53,61,3.6,47,6,5,2,1,0,11,0.65,6,2,2,0,1,0,918,20,172,302,457,85,918,64,24,37.5,38,59.4,586,3981,2241,87,54,28,47,16,619,166,30,19,18,4,8,18,46,39.1,28,19,0,19,9,39,20,0
2235,Alberto Risco,ESP,MF,Getafe,La Liga,17.0,2005.0,1.5,0,2,1,50.0,1.31,0.66,0.0,0.0,8.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,39,47,83.0,541,115,25,27,92.6,14,18,77.8,0,0,0.0,0,0.3,0.2,-0.3,4,2,2,0,6,8,5.26,7,0,1,0,0,0,0,0.0,0,0,0,0,0,0,65,1,5,26,34,5,65,4,2,50.0,1,25.0,37,158,84,3,2,0,6,2,51,14,2,2,1,1,0,0,4,0.0,4,0,0,0,0,2,1,0
2236,Mihailo Ristić,SRB,"DF,MF",Celta Vigo,La Liga,27.0,1995.0,9.0,0,10,4,40.0,1.11,0.45,0.0,0.0,23.7,1,0,0,0.3,0.3,0.03,-0.3,-0.3,371,513,72.3,5752,2352,205,233,88.0,137,172,79.7,21,71,29.6,0,0.1,0.5,-0.1,6,31,3,3,30,20,2.23,11,4,2,0,2,1,0,0.0,0,0,0,0,0,0,624,31,161,266,203,8,624,23,7,30.4,11,47.8,326,1911,1006,24,22,3,16,8,330,42,15,9,9,6,0,9,12,75.0,3,9,2,7,10,25,23,0
2237,Matt Ritchie,SCO,"FW,MF",Newcastle Utd,Premier League,33.0,1989.0,1.4,1,6,4,66.7,4.22,2.81,0.17,0.25,12.0,0,0,0,1.0,1.0,0.16,0.0,0.0,70,93,75.3,959,234,45,53,84.9,22,26,84.6,2,9,22.2,0,0.0,0.1,0.0,0,5,3,0,8,3,2.11,3,0,0,0,0,0,1,0.7,1,0,0,0,0,0,125,6,26,42,57,9,125,2,0,0.0,1,50.0,58,293,160,5,5,2,3,1,85,13,5,3,2,2,1,2,4,50.0,2,3,2,1,1,6,5,0
2238,Gorka Rivera Alonso,ESP,DF,Getafe,La Liga,18.0,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,6,66.7,77,71,2,2,100.0,1,1,100.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,0,3,2,1,0,6,0,0,0.0,0,0.0,3,6,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
